folder_a,folder_b,case_id,support_size,kl_ab,kl_ba,sym_kl,js_divergence,js_similarity
different_prompt/aggressive_efficiency_first,different_prompt/distinct_diagnosis,0,1,0.0,0.0,0.0,0.0,1.0
different_prompt/aggressive_efficiency_first,different_prompt/distinct_diagnosis,1,1,0.0,0.0,0.0,0.0,1.0
different_prompt/aggressive_efficiency_first,different_prompt/distinct_diagnosis,2,5,2.713217,2.724107,2.718662,0.115033,0.884967
different_prompt/aggressive_efficiency_first,different_prompt/distinct_diagnosis,3,4,2.811659,5.380233,4.095946,0.152406,0.847594
different_prompt/aggressive_efficiency_first,different_prompt/distinct_diagnosis,4,2,2.52074,0.152003,1.336371,0.051899,0.948101
different_prompt/aggressive_efficiency_first,different_prompt/distinct_diagnosis,5,7,10.696734,8.128302,9.412518,0.352777,0.647223
different_prompt/aggressive_efficiency_first,different_prompt/distinct_diagnosis,6,1,0.0,0.0,0.0,0.0,1.0
different_prompt/aggressive_efficiency_first,different_prompt/distinct_diagnosis,7,1,0.0,0.0,0.0,0.0,1.0
different_prompt/aggressive_efficiency_first,different_prompt/distinct_diagnosis,8,3,2.782054,0.36797,1.575012,0.109531,0.890469
different_prompt/aggressive_efficiency_first,different_prompt/distinct_diagnosis,9,2,0.118709,0.125769,0.122239,0.030305,0.969695
different_prompt/aggressive_efficiency_first,different_prompt/distinct_diagnosis,10,3,0.321928,5.057543,2.689735,0.108032,0.891968
different_prompt/aggressive_efficiency_first,different_prompt/distinct_diagnosis,11,2,0.0,0.0,0.0,0.0,1.0
different_prompt/aggressive_efficiency_first,different_prompt/distinct_diagnosis,12,4,5.380233,2.811659,4.095946,0.152406,0.847594
different_prompt/aggressive_efficiency_first,different_prompt/distinct_diagnosis,13,6,5.792143,5.680233,5.736188,0.299405,0.700595
different_prompt/aggressive_efficiency_first,different_prompt/distinct_diagnosis,14,3,8.099094,0.53203,4.315562,0.172596,0.827404
different_prompt/aggressive_efficiency_first,different_prompt/low_cost_testing,0,1,0.0,0.0,0.0,0.0,1.0
different_prompt/aggressive_efficiency_first,different_prompt/low_cost_testing,1,1,0.0,0.0,0.0,0.0,1.0
different_prompt/aggressive_efficiency_first,different_prompt/low_cost_testing,2,4,5.080233,0.354116,2.717175,0.114662,0.885338
different_prompt/aggressive_efficiency_first,different_prompt/low_cost_testing,3,3,5.057543,0.321928,2.689735,0.108032,0.891968
different_prompt/aggressive_efficiency_first,different_prompt/low_cost_testing,4,2,0.052933,0.06406,0.058496,0.014378,0.985622
different_prompt/aggressive_efficiency_first,different_prompt/low_cost_testing,5,6,10.581147,5.647115,8.114131,0.31034,0.68966
different_prompt/aggressive_efficiency_first,different_prompt/low_cost_testing,6,1,0.0,0.0,0.0,0.0,1.0
different_prompt/aggressive_efficiency_first,different_prompt/low_cost_testing,7,1,0.0,0.0,0.0,0.0,1.0
different_prompt/aggressive_efficiency_first,different_prompt/low_cost_testing,8,3,2.782054,0.36797,1.575012,0.109531,0.890469
different_prompt/aggressive_efficiency_first,different_prompt/low_cost_testing,9,4,0.331163,5.064657,2.69791,0.110039,0.889961
different_prompt/aggressive_efficiency_first,different_prompt/low_cost_testing,10,2,0.152003,2.52074,1.336371,0.051899,0.948101
different_prompt/aggressive_efficiency_first,different_prompt/low_cost_testing,11,2,2.52074,0.152003,1.336371,0.051899,0.948101
different_prompt/aggressive_efficiency_first,different_prompt/low_cost_testing,12,4,0.2,2.557542,1.378771,0.062256,0.937744
different_prompt/aggressive_efficiency_first,different_prompt/low_cost_testing,13,5,13.687712,3.457542,8.572627,0.349022,0.650978
different_prompt/aggressive_efficiency_first,different_prompt/low_cost_testing,14,5,2.833031,5.198092,4.015562,0.157262,0.842738
different_prompt/conservative_safety_first,different_prompt/distinct_diagnosis,0,1,0.0,0.0,0.0,0.0,1.0
different_prompt/conservative_safety_first,different_prompt/distinct_diagnosis,1,1,0.0,0.0,0.0,0.0,1.0
different_prompt/conservative_safety_first,different_prompt/distinct_diagnosis,2,5,2.701514,2.698371,2.699942,0.110546,0.889454
different_prompt/conservative_safety_first,different_prompt/distinct_diagnosis,3,4,2.811659,5.380233,4.095946,0.152406,0.847594
different_prompt/conservative_safety_first,different_prompt/distinct_diagnosis,4,1,0.0,0.0,0.0,0.0,1.0
different_prompt/conservative_safety_first,different_prompt/distinct_diagnosis,5,6,5.315085,5.315085,5.315085,0.2,0.8
different_prompt/conservative_safety_first,different_prompt/distinct_diagnosis,6,1,0.0,0.0,0.0,0.0,1.0
different_prompt/conservative_safety_first,different_prompt/distinct_diagnosis,7,1,0.0,0.0,0.0,0.0,1.0
different_prompt/conservative_safety_first,different_prompt/distinct_diagnosis,8,3,5.379145,2.810475,4.09481,0.152123,0.847877
different_prompt/conservative_safety_first,different_prompt/distinct_diagnosis,9,2,0.029049,0.029447,0.029248,0.007299,0.992701
different_prompt/conservative_safety_first,different_prompt/distinct_diagnosis,10,3,0.152932,2.521602,1.337267,0.052123,0.947877
different_prompt/conservative_safety_first,different_prompt/distinct_diagnosis,11,2,0.152003,2.52074,1.336371,0.051899,0.948101
different_prompt/conservative_safety_first,different_prompt/distinct_diagnosis,12,4,5.651538,3.041504,4.346521,0.212941,0.787059
different_prompt/conservative_safety_first,different_prompt/distinct_diagnosis,13,5,2.614829,0.239799,1.427314,0.074334,0.925666
different_prompt/conservative_safety_first,different_prompt/distinct_diagnosis,14,4,5.080233,0.354116,2.717175,0.114662,0.885338
different_prompt/conservative_safety_first,different_prompt/low_cost_testing,0,1,0.0,0.0,0.0,0.0,1.0
different_prompt/conservative_safety_first,different_prompt/low_cost_testing,1,1,0.0,0.0,0.0,0.0,1.0
different_prompt/conservative_safety_first,different_prompt/low_cost_testing,2,4,5.151538,0.425465,2.788501,0.132459,0.867541
different_prompt/conservative_safety_first,different_prompt/low_cost_testing,3,3,5.057543,0.321928,2.689735,0.108032,0.891968
different_prompt/conservative_safety_first,different_prompt/low_cost_testing,4,2,0.321928,5.257542,2.789735,0.108032,0.891968
different_prompt/conservative_safety_first,different_prompt/low_cost_testing,5,5,5.180233,2.811658,3.995946,0.152406,0.847594
different_prompt/conservative_safety_first,different_prompt/low_cost_testing,6,1,0.0,0.0,0.0,0.0,1.0
different_prompt/conservative_safety_first,different_prompt/low_cost_testing,7,1,0.0,0.0,0.0,0.0,1.0
different_prompt/conservative_safety_first,different_prompt/low_cost_testing,8,3,5.379145,2.810475,4.09481,0.152123,0.847877
different_prompt/conservative_safety_first,different_prompt/low_cost_testing,9,4,0.4,5.115085,2.757542,0.124511,0.875489
different_prompt/conservative_safety_first,different_prompt/low_cost_testing,10,3,2.657542,2.657542,2.657542,0.1,0.9
different_prompt/conservative_safety_first,different_prompt/low_cost_testing,11,1,0.0,0.0,0.0,0.0,1.0
different_prompt/conservative_safety_first,different_prompt/low_cost_testing,12,4,0.432775,2.738845,1.58581,0.112079,0.887921
different_prompt/conservative_safety_first,different_prompt/low_cost_testing,13,5,7.833591,0.542457,4.188024,0.175196,0.824804
different_prompt/conservative_safety_first,different_prompt/low_cost_testing,14,6,5.37076,5.381649,5.376205,0.215033,0.784967
different_prompt/distinct_diagnosis,different_prompt/low_cost_testing,0,1,0.0,0.0,0.0,0.0,1.0
different_prompt/distinct_diagnosis,different_prompt/low_cost_testing,1,1,0.0,0.0,0.0,0.0,1.0
different_prompt/distinct_diagnosis,different_prompt/low_cost_testing,2,4,5.066062,0.33203,2.699046,0.11034,0.88966
different_prompt/distinct_diagnosis,different_prompt/low_cost_testing,3,3,7.812426,0.514573,4.1635,0.169195,0.830805
different_prompt/distinct_diagnosis,different_prompt/low_cost_testing,4,2,0.321928,5.257542,2.789735,0.108032,0.891968
different_prompt/distinct_diagnosis,different_prompt/low_cost_testing,5,5,5.180233,2.811658,3.995946,0.152406,0.847594
different_prompt/distinct_diagnosis,different_prompt/low_cost_testing,6,1,0.0,0.0,0.0,0.0,1.0
different_prompt/distinct_diagnosis,different_prompt/low_cost_testing,7,1,0.0,0.0,0.0,0.0,1.0
different_prompt/distinct_diagnosis,different_prompt/low_cost_testing,8,2,0.0,0.0,0.0,0.0,1.0
different_prompt/distinct_diagnosis,different_prompt/low_cost_testing,9,4,0.529447,5.20852,2.868983,0.151191,0.848809
different_prompt/distinct_diagnosis,different_prompt/low_cost_testing,10,4,5.179145,2.810475,3.99481,0.152123,0.847877
different_prompt/distinct_diagnosis,different_prompt/low_cost_testing,11,2,2.52074,0.152003,1.336371,0.051899,0.948101
different_prompt/distinct_diagnosis,different_prompt/low_cost_testing,12,5,2.811658,5.180233,3.995946,0.152406,0.847594
different_prompt/distinct_diagnosis,different_prompt/low_cost_testing,13,5,5.180233,2.811658,3.995946,0.152406,0.847594
different_prompt/distinct_diagnosis,different_prompt/low_cost_testing,14,5,5.847115,10.581147,8.214131,0.31034,0.68966
