case_id,correct_diagnosis_reference,similarity,comparison,embedding_gap
23,Irritable Bowel Syndrome,0.9399682283401489,flash_vs_qwen,0.060031771659851074
5,Pes anserine bursitis,0.9419965744018555,flash_vs_qwen,0.05800342559814453
18,Uterine rupture,0.9450612664222717,flash_vs_qwen,0.05493873357772827
2,Hirschsprung disease,0.9467116594314575,flash_vs_qwen,0.05328834056854248
26,Interstitial cystitis,0.9482153654098511,flash_vs_qwen,0.051784634590148926
24,Meigs syndrome,0.9625041484832764,flash_vs_qwen,0.03749585151672363
25,Primary sclerosing cholangitis,0.9626346230506897,flash_vs_qwen,0.0373653769493103
15,Epidermoid cyst,0.9649711847305298,flash_vs_qwen,0.035028815269470215
28,Lung cancer,0.8941150903701782,gpt_5_4_mini_vs_gpt_5_5,0.10588490962982178
25,Primary sclerosing cholangitis,0.9355823993682861,gpt_5_4_mini_vs_gpt_5_5,0.06441760063171387
18,Uterine rupture,0.9528051614761353,gpt_5_4_mini_vs_gpt_5_5,0.047194838523864746
24,Meigs syndrome,0.9540477991104126,gpt_5_4_mini_vs_gpt_5_5,0.0459522008895874
2,Hirschsprung disease,0.9603291749954224,gpt_5_4_mini_vs_gpt_5_5,0.03967082500457764
15,Epidermoid cyst,0.9711237549781799,gpt_5_4_mini_vs_gpt_5_5,0.02887624502182007
23,Irritable Bowel Syndrome,0.9725939631462097,gpt_5_4_mini_vs_gpt_5_5,0.027406036853790283
26,Interstitial cystitis,0.9756267070770264,gpt_5_4_mini_vs_gpt_5_5,0.024373292922973633
5,Pes anserine bursitis,0.9851325750350952,gpt_5_4_mini_vs_gpt_5_5,0.014867424964904785
2,Hirschsprung disease,0.9332448244094849,pro_vs_gpt_5_4_mini,0.06675517559051514
26,Interstitial cystitis,0.933813214302063,pro_vs_gpt_5_4_mini,0.06618678569793701
24,Meigs syndrome,0.9373786449432373,pro_vs_gpt_5_4_mini,0.0626213550567627
28,Lung cancer,0.9378357529640198,pro_vs_gpt_5_4_mini,0.062164247035980225
25,Primary sclerosing cholangitis,0.9445645809173584,pro_vs_gpt_5_4_mini,0.0554354190826416
18,Uterine rupture,0.9507479667663574,pro_vs_gpt_5_4_mini,0.04925203323364258
15,Epidermoid cyst,0.9529159069061279,pro_vs_gpt_5_4_mini,0.04708409309387207
5,Pes anserine bursitis,0.9591492414474487,pro_vs_gpt_5_4_mini,0.04085075855255127
23,Irritable Bowel Syndrome,0.9617869853973389,pro_vs_gpt_5_4_mini,0.03821301460266113
28,Lung cancer,0.8403638601303101,pro_vs_gpt_5_5,0.15963613986968994
24,Meigs syndrome,0.8751115202903748,pro_vs_gpt_5_5,0.12488847970962524
25,Primary sclerosing cholangitis,0.9049943685531616,pro_vs_gpt_5_5,0.09500563144683838
26,Interstitial cystitis,0.9150310158729553,pro_vs_gpt_5_5,0.08496898412704468
18,Uterine rupture,0.9316601157188416,pro_vs_gpt_5_5,0.06833988428115845
15,Epidermoid cyst,0.932216227054596,pro_vs_gpt_5_5,0.06778377294540405
23,Irritable Bowel Syndrome,0.9531023502349854,pro_vs_gpt_5_5,0.04689764976501465
2,Hirschsprung disease,0.9535807967185974,pro_vs_gpt_5_5,0.04641920328140259
5,Pes anserine bursitis,0.9553927183151245,pro_vs_gpt_5_5,0.04460728168487549
28,Lung cancer,0.8910535573959351,pro_vs_qwen,0.10894644260406494
23,Irritable Bowel Syndrome,0.9003541469573975,pro_vs_qwen,0.09964585304260254
5,Pes anserine bursitis,0.9272990822792053,pro_vs_qwen,0.07270091772079468
26,Interstitial cystitis,0.942240834236145,pro_vs_qwen,0.05775916576385498
25,Primary sclerosing cholangitis,0.9445294141769409,pro_vs_qwen,0.05547058582305908
15,Epidermoid cyst,0.9455613493919373,pro_vs_qwen,0.054438650608062744
18,Uterine rupture,0.9507639408111572,pro_vs_qwen,0.04923605918884277
2,Hirschsprung disease,0.9545310735702515,pro_vs_qwen,0.045468926429748535
24,Meigs syndrome,0.9611749649047852,pro_vs_qwen,0.038825035095214844
23,Irritable Bowel Syndrome,0.8619426488876343,qwen_vs_gpt_5_4_mini,0.13805735111236572
5,Pes anserine bursitis,0.872705340385437,qwen_vs_gpt_5_4_mini,0.127294659614563
28,Lung cancer,0.8734824657440186,qwen_vs_gpt_5_4_mini,0.12651753425598145
26,Interstitial cystitis,0.8858660459518433,qwen_vs_gpt_5_4_mini,0.11413395404815674
24,Meigs syndrome,0.9057559967041016,qwen_vs_gpt_5_4_mini,0.09424400329589844
2,Hirschsprung disease,0.9164541959762573,qwen_vs_gpt_5_4_mini,0.08354580402374268
15,Epidermoid cyst,0.923226535320282,qwen_vs_gpt_5_4_mini,0.07677346467971802
18,Uterine rupture,0.9358059167861938,qwen_vs_gpt_5_4_mini,0.06419408321380615
25,Primary sclerosing cholangitis,0.9433574676513672,qwen_vs_gpt_5_4_mini,0.05664253234863281
28,Lung cancer,0.8441413044929504,qwen_vs_gpt_5_5,0.15585869550704956
24,Meigs syndrome,0.8564443588256836,qwen_vs_gpt_5_5,0.1435556411743164
23,Irritable Bowel Syndrome,0.8739467263221741,qwen_vs_gpt_5_5,0.12605327367782593
5,Pes anserine bursitis,0.8792269229888916,qwen_vs_gpt_5_5,0.1207730770111084
26,Interstitial cystitis,0.8817926645278931,qwen_vs_gpt_5_5,0.11820733547210693
15,Epidermoid cyst,0.8994255065917969,qwen_vs_gpt_5_5,0.10057449340820312
25,Primary sclerosing cholangitis,0.9015486240386963,qwen_vs_gpt_5_5,0.09845137596130371
2,Hirschsprung disease,0.9236084222793579,qwen_vs_gpt_5_5,0.07639157772064209
18,Uterine rupture,0.9350332021713257,qwen_vs_gpt_5_5,0.06496679782867432
